Month,Bond Balance,Total Interest Paid,Total Principal Paid,Total Early Payoff,Cash Flow,Pool Factor,Remaining Loans in Bond,Remaining Balance
1,314749298.0,1516640.0277824367,335180.34422306385,1572070.5882788848,1907250.9325019487,0.9939404124342098,800.9950053245607,312842047.067498
2,312842047.067498,1507541.4192429793,344278.95276252326,1562488.8405736764,1906767.7933361996,0.9939050143316419,800.9950357670358,310935279.2741618
3,310935279.2741618,1498442.7873048643,353377.584700636,1552909.5084473041,1906287.09314794,0.9938691836526306,800.9950662018365,309028992.1810139
4,309028992.1810139,1489344.1214474684,362476.2505580319,1543332.5796522791,1905808.830210311,0.9938329125149074,800.9950966290014,307123183.35080355
5,307123183.35080355,1480245.4111530285,371574.9608524726,1533758.041949755,1905333.0028022276,0.9937961928434886,800.9951270485694,305217850.3480013
6,305217850.3480013,1471146.645906625,380673.7260988765,1524185.8831095137,1904859.6092083901,0.9937590163647488,800.9951574605795,303312990.7387929
7,303312990.7387929,1462047.815196164,389772.5568093383,1514616.090909918,1904388.6477192563,0.9937213746002745,800.9951878650706,301408602.09107363
8,301408602.09107363,1452948.908512347,398871.46349315456,1505048.6531379013,1903920.116631056,0.9936832588604895,800.9952182620813,299504681.9744426
9,299504681.9744426,1443849.9153486579,407970.45665684406,1495483.5575889274,1903454.0142457716,0.9936446602380387,800.9952486516504,297601227.96019685
10,297601227.96019685,1434750.8252013286,417069.5468041714,1485920.7920669613,1902990.3388711326,0.9936055696009237,800.9952790338167,295698237.62132573
11,295698237.62132573,1425651.6275693304,426168.74443617184,1476360.344384448,1902529.0888206197,0.9935659775853752,800.9953094086189,293795708.5325051
12,293795708.5325051,1416552.3119543353,435268.0600511688,1466802.202362269,1902070.2624134377,0.993525874588454,800.9953397760959,291893638.27009165
13,291893638.27009165,1407452.867860701,444367.50414480164,1457246.3538297347,1901613.8579745363,0.9934852507603644,800.9953701362859,289992024.4121171
14,289992024.4121171,1398353.2847954575,453467.0872100453,1447692.786624535,1901159.8738345802,0.9934440959964719,800.995400489228,288090864.5382825
15,288090864.5382825,1389253.5522682664,462566.819737235,1438141.4885927297,1900708.3083299648,0.9934023999290079,800.9954308349606,286190156.2299526
16,286190156.2299526,1380153.6597914142,471666.71221408766,1428592.4475886922,1900259.1598027798,0.9933601519184471,800.9954611735224,284289897.0701498
17,284289897.0701498,1371053.5968797777,480766.77512572333,1419045.6514751194,1899812.4266008427,0.9933173410445464,800.9954915049517,282390084.64354897
18,282390084.64354897,1361953.3530508145,489867.0189546871,1409501.088122971,1899368.107077658,0.9932739560970238,800.9955218292873,280490716.5364713
19,280490716.5364713,1352852.9178245217,498967.4541809805,1399958.7454114521,1898926.1995924327,0.9932299855658663,800.9955521465678,278591790.3368789
20,278591790.3368789,1343752.2807234316,508068.091282069,1390418.6112279836,1898486.7025100526,0.9931854176312434,800.9955824568314,276693303.63436884
21,276693303.63436884,1334651.431272583,517168.9407329168,1380880.673468179,1898049.614201096,0.9931402401530136,800.9956127601166,274795254.02016777
22,274795254.02016777,1325550.3589994956,526270.0130060053,1371344.9200358088,1897614.9330418142,0.9930944406597992,800.995643056462,272897639.08712596
23,272897639.08712596,1316449.0534341477,535371.3185713548,1361811.3388427752,1897182.65741413,0.9930480063376128,800.9956733459057,271000456.4297118
24,271000456.4297118,1307347.5041089559,544472.867896546,1352279.9178090761,1896752.7857056223,0.9930009240180097,800.9957036284866,269103703.6440062
25,269103703.6440062,1298245.7005587541,553574.6714467463,1342750.6448627978,1896325.3163095443,0.992953180165747,800.9957339042426,267207378.32769665
26,267207378.32769665,1289143.6323207708,562676.7396847294,1333223.5079400602,1895900.2476247896,0.992904760865923,800.9957641732121,265311478.08007187
27,265311478.08007187,1280041.2889346033,571779.0830708981,1323698.4949850042,1895477.5780559024,0.9928556518105718,800.9957944354336,263416000.50201598
28,263416000.50201598,1270938.6599421944,580881.7120633088,1314175.5939497629,1895057.3060130717,0.9928058382846847,800.9958246909451,261520943.1960029
29,261520943.1960029,1261835.7348878132,589984.6371176892,1304654.792794426,1894639.4299121152,0.9927553051516331,800.9958549397851,259626303.76609078
30,259626303.76609078,1252732.5033180374,599087.8686874646,1295136.0794870178,1894223.9481744824,0.9927040368379582,800.9958851819918,257732079.8179163
31,257732079.8179163,1243628.9547817216,608191.4172237806,1285619.4420034604,1893810.859227241,0.9926520173174981,800.9959154176032,255838268.95868906
32,255838268.95868906,1234525.0788299772,617295.2931755255,1276104.8683275685,1893400.161503094,0.9925992300948189,800.9959456466577,253944868.79718596
33,253944868.79718596,1225420.865016156,626399.5069893465,1266592.3464509847,1892991.8534403313,0.9925456581879109,800.9959758691933,252051876.9437456
34,252051876.9437456,1216316.3028958207,635504.0691096816,1257081.864373179,1892585.9334828607,0.9924912841101149,800.9960060852483,250159291.01026276
35,250159291.01026276,1207211.3820267282,644608.9899787754,1247573.4101014226,1892182.400080198,0.9924360898512358,800.9960362948606,248267108.61018255
36,248267108.61018255,1198106.0919687974,653714.2800367052,1238066.9716507294,1891781.2516874345,0.9923800568578022,800.9960664980684,246375327.35849512
37,246375327.35849512,1189000.4222841035,662819.949721397,1228562.5370438688,1891382.486765266,0.9923231660124264,800.9960966949097,244483944.87172985
38,244483944.87172985,1179894.3625368436,671926.0094686586,1219060.0943113067,1890986.1037799653,0.992265397612215,800.9961268854225,242592958.76794988
39,242592958.76794988,1170787.9022933103,681032.4697121928,1209559.6314911873,1890592.1012033802,0.9922067313461813,800.996157069645,240702366.6667465
40,240702366.6667465,1161681.0311218838,690139.3408836185,1200061.1366293142,1890200.4775129326,0.992147146271603,800.996187247615,238812166.18923357
41,238812166.18923357,1152573.7385930016,699246.6334125014,1190564.5977791057,1889811.2311916072,0.9920866207892687,800.9962174193704,236922354.95804197
42,236922354.95804197,1143466.0142791276,708354.3577263729,1181070.003001579,1889424.3607279519,0.9920251326175507,800.9962475849493,235032930.597314
43,235032930.597314,1134357.8477547562,717462.5242507483,1171577.3403653167,1889039.864616065,0.9919626587652409,800.9962777443895,233143890.73269793
44,233143890.73269793,1125249.22859635,726571.1434091509,1162086.5979464443,1888657.7413555952,0.991899175503076,800.996307897729,231255232.99134234
45,231255232.99134234,1116140.1463823605,735680.2256231412,1152597.7638285975,1888277.9894517385,0.9918346583338833,800.9963380450055,229366955.0018906
46,229366955.0018906,1107030.5906931767,744789.7813123246,1143110.826102891,1887900.6074152156,0.991769081961263,800.9963681862569,227479054.39447537
47,227479054.39447537,1097920.5511111126,753899.82089439,1133625.7728679052,1887525.5937622953,0.9917024202567278,800.996398321521,225591528.80071306
48,225591528.80071306,1088810.017220383,763010.3547851198,1124142.592229642,1887152.9470147616,0.9916346462252054,800.9964284508358,223704375.8536983
49,223704375.8536983,1079698.9786070848,772121.3933984176,1114661.272301502,1886782.6656999197,0.991565731968811,800.9964585742387,221817593.18799838
50,221817593.18799838,1070587.4248591722,781232.9471463293,1105181.801204261,1886414.7483505902,0.9914956486487896,800.9964886917676,219931178.4396478
51,219931178.4396478,1061475.3455664369,790345.0264390664,1095704.1670660425,1886049.1935051088,0.9914243664455121,800.9965188034603,218045129.2461427
52,218045129.2461427,1052362.730320479,799457.6416850224,1086228.3580222875,1885685.99970731,0.9913518545164169,800.9965489093545,216159443.24643537
53,216159443.24643537,1043249.5687146971,808570.8032908035,1076754.3622157217,1885325.1655065252,0.9912780809517671,800.9965790094877,214274118.08092886
54,214274118.08092886,1034135.8503442537,817684.5216612496,1067282.1677963375,1884966.689457587,0.9912030127280903,800.9966091038976,212389151.39147127
55,212389151.39147127,1025021.5648060585,826798.8071994424,1057811.7629213594,1884610.5701208017,0.9911266156591627,800.9966391926221,210504540.82135046
56,210504540.82135046,1015906.7016987511,835913.6703067498,1048343.1357552193,1884256.8060619691,0.9910488543443768,800.9966692756984,208620284.01528847
57,208620284.01528847,1006791.2506226698,845029.1213828331,1038876.2744695292,1883905.3958523623,0.9909696921143377,800.9966993531643,206736378.61943612
58,206736378.61943612,997675.2011798327,854145.1708256687,1029411.1672430522,1883556.338068721,0.990889090973505,800.9967294250574,204852822.2813674
59,204852822.2813674,988558.5429739235,863261.8290315799,1019947.8022616783,1883209.6312932582,0.9908070115396962,800.9967594914151,202969612.65007412
60,202969612.65007412,979441.2656102539,872379.1063952477,1010486.1677183957,1882865.2741136434,0.9907234129802486,800.996789552275,201086747.37596047
61,201086747.37596047,970323.3586957571,881497.0133097449,1001026.2518132527,1882523.2651229976,0.9906382529446192,800.9968196076745,199204224.11083746
62,199204224.11083746,961204.8118389589,890615.5601665429,991568.0427533559,1882183.602919899,0.9905514874931937,800.9968496576512,197322040.50791755
63,197322040.50791755,952085.6146499523,899734.7573555508,982111.5287528103,1881846.286108361,0.990463071022049,800.9968797022424,195440194.22180918
64,195440194.22180918,942965.7567403802,908854.6152651213,972656.698032721,1881511.3132978422,0.9903729561834017,800.9969097414856,193558682.90851134
65,193558682.90851134,933845.2277234136,917975.1442820875,963203.5388211474,1881178.683103235,0.9902810938014472,800.9969397754182,191677504.2254081
66,191677504.2254081,924724.0172137293,927096.3547917736,953752.0393530829,1880848.3941448564,0.9901874327832805,800.9969698040777,189796655.83126324
67,189796655.83126324,915602.114827484,936218.2571780189,944302.1878704269,1880520.4450484458,0.9900919200245535,800.9969998275012,187916135.3862148
68,187916135.3862148,906479.5101822988,945340.8618232047,934853.9726219588,1880194.8344451636,0.9899945003095082,800.9970298457263,186035940.5517696
69,186035940.5517696,897356.1928972283,954464.1791082739,925407.3818633074,1879871.5609715814,0.9898951162049869,800.9970598587901,184156068.99079803
70,184156068.99079803,888232.1525927517,963588.219412751,915962.4038569272,1879550.623269678,0.9897937079479928,800.9970898667299,182276518.36752835
71,182276518.36752835,879107.3788907372,972712.9931147646,906519.0268720688,1879232.0199868334,0.9896902133263392,800.9971198695831,180397286.3475415
72,180397286.3475415,869981.8614144301,981838.5105910733,897077.2391847527,1878915.749775826,0.9895845675518864,800.9971498673868,178518370.59776568
73,178518370.59776568,860855.589788424,990964.7822170785,887637.029077743,1878601.8112948216,0.9894767031258219,800.9971798601784,176639768.78647086
74,176639768.78647086,851728.5536386458,1000091.8183668574,878198.38484052,1878290.2032073773,0.9893665496953977,800.9972098479951,174761478.5832635
75,174761478.5832635,842600.7425923228,1009219.6294131763,868761.2947692514,1877980.9241824276,0.9892540339014833,800.997239830874,172883497.65908107
76,172883497.65908107,833472.1462779818,1018348.2257275218,859325.7471667678,1877673.9728942895,0.9891390792162421,800.9972698088523,171005823.6861868
77,171005823.6861868,824342.7543253948,1027477.617680105,849891.7303425341,1877369.3480226393,0.9890216057701765,800.997299781967,169128454.33816415
78,169128454.33816415,815212.5563655938,1036607.8156399091,840459.2326126221,1877067.0482525313,0.9889015301677184,800.9973297502554,167251387.28991163
79,167251387.28991163,806081.5420308175,1045738.829974686,831028.242299686,1876767.072274372,0.9887787652904713,800.9973597137545,165374620.21763724
80,165374620.21763724,796949.7009545106,1054870.6710509914,821598.7477329313,1876469.4187839227,0.9886532200871303,800.9973896725014,163498150.7988533
81,163498150.7988533,787817.0227712932,1064003.3492342078,812170.7372480968,1876174.0864823046,0.9885247993490122,800.9974196265332,161621976.712371
82,161621976.712371,778683.4971169364,1073136.8748885673,802744.1991874126,1875881.0740759799,0.9883934034700346,800.9974495758869,159746095.63829502
83,159746095.63829502,769549.1136283474,1082271.258377155,793319.12189959,1875590.3802767452,0.9882589281898724,800.9974795205997,157870505.25801829
84,157870505.25801829,760413.8619435466,1091406.510061955,783895.4937397823,1875302.0038017374,0.9881212643188998,800.9975094607082,155995203.25421655
85,155995203.25421655,751277.7317016397,1100542.6403038618,774473.3030695636,1875015.9433734254,0.9879802974433912,800.9975393962496,154120187.31084314
86,154120187.31084314,742140.7125428041,1109679.6594626987,765052.5382569026,1874732.1977196014,0.9878359076093096,800.9975693272611,152245455.11312354
87,152245455.11312354,733002.7941082555,1118817.5778972467,755633.1876761327,1874450.7655733794,0.9876879689828468,800.9975992537792,150371004.34755015
88,150371004.34755015,723863.9660402425,1127956.405965257,746215.2397079265,1874171.6456731835,0.9875363494856931,800.9976291758411,148496832.70187697
89,148496832.70187697,714724.2179820135,1137096.1540234892,736798.6827392671,1873894.8367627563,0.9873809104028178,800.9976590934835,146622937.8651142
90,146622937.8651142,705583.5395777941,1146236.8324277066,727383.5051634334,1873620.33759114,0.9872215059603104,800.9976890067435,144749317.52752307
91,144749317.52752307,696441.9204727735,1155378.45153273,717969.6953799529,1873348.1469126828,0.9870579828705826,800.9977189156579,142875969.38061038
92,142875969.38061038,687299.350313074,1164521.0216924273,708557.2417945898,1873078.2634870172,0.9868901798419489,800.9977488202633,141002891.11712337
93,141002891.11712337,678155.8187457382,1173664.5532597634,699146.1328193195,1872810.686079083,0.986717927049287,800.9977787205968,139130080.43104428
94,139130080.43104428,669011.3154186984,1182809.0565868034,689736.3568722887,1872545.4134590921,0.9865410455621265,800.9978086166951,137257535.0175852
95,137257535.0175852,659865.8299807596,1191954.5420247428,680327.9023778035,1872282.4444025462,0.9863593467261184,800.9978385085949,135385252.57318264
96,135385252.57318264,650719.3520815808,1201101.019923922,670920.7577662955,1872021.7776902174,0.9861726314933874,800.9978683963332,133513230.79549243
97,133513230.79549243,641571.8713716457,1210248.5006338581,661514.9114742933,1871763.4121081515,0.9859806896967747,800.9978982799464,131641467.38338427
98,131641467.38338427,632423.3775022472,1219396.9945032555,652110.3519444051,1871507.3464476606,0.9857832992624034,800.9979281594714,129769960.03693661
99,129769960.03693661,623273.8601254643,1228546.5118800383,642707.0676252831,1871253.5795053216,0.9855802253543677,800.9979580349449,127898706.45743129
100,127898706.45743129,614123.3088941394,1237697.0631113637,633305.046971601,1871002.1100829646,0.9853712194446181,800.9979879064036,126027704.34734832
101,126027704.34734832,604971.7134618539,1246848.6585436463,623904.2784440239,1870752.9369876701,0.9851560183002966,800.9980177738842,124156951.41036065
102,124156951.41036065,595819.063482918,1256001.308522584,614504.7505091919,1870506.0590317757,0.9849343428798488,800.9980476374232,122286445.35132888
103,122286445.35132888,586665.3486123334,1265155.0233931679,605106.4516396788,1870261.4750328467,0.9847058971281765,800.9980774970572,120416183.87629603
104,120416183.87629603,577510.5585057829,1274309.813499719,595709.370313982,1870019.183813701,0.9844703666598936,800.998107352823,118546164.69248232
105,118546164.69248232,568354.6828196034,1283465.6891858985,586313.495016483,1869779.1842023814,0.9842274173183693,800.9981372047571,116676385.50827993
106,116676385.50827993,559197.7112107674,1292622.6607947343,576918.8142374265,1869541.4750321608,0.9839766935966705,800.9981670528961,114806844.03324777
107,114806844.03324777,550039.6333368607,1301780.7386686406,567525.3164728972,1869306.055141538,0.9837178169047118,800.9981968972764,112937537.97810623
108,112937537.97810623,540880.4388560568,1310939.933149443,558132.9902247846,1869072.9233742277,0.9834503836648488,800.9982267379347,111068465.05473201
109,111068465.05473201,531720.1174271066,1320100.2545783957,548741.824000769,1868842.0785791646,0.9831739632157676,800.9982565749075,109199622.97615285
110,109199622.97615285,522558.6587092997,1329261.713296202,539351.8063142834,1868613.5196104855,0.9828880955017716,800.9982864082311,107331009.45654237
111,107331009.45654237,513396.05236245855,1338424.3196430427,529962.9256844969,1868387.2453275397,0.9825922885213892,800.9983162379423,105462622.21121484
112,105462622.21121484,504232.2880469096,1347588.0839585923,520575.1706362819,1868163.254594874,0.982286015505537,800.9983460640772,103594458.95661996
113,103594458.95661996,495067.35542346013,1356753.0165820438,511188.5297001906,1867941.5462822344,0.981968711791193,800.9983758866725,101726517.41033773
114,101726517.41033773,485901.24415338214,1365919.1278521186,501802.99141242844,1867722.119264547,0.9816397713515479,800.9984057057645,99858795.29107319
115,99858795.29107319,476733.94389838795,1375086.4281071147,492418.5443148305,1867504.9724219453,0.9812985429377707,800.9984355213898,97991290.31865124
116,97991290.31865124,467565.44432060857,1384254.927684894,483035.1769548322,1867290.1046397262,0.9809443257807137,800.9984653335845,96124000.21401152
117,96124000.21401152,458395.735082572,1393424.6369229306,473652.87788544316,1867077.5148083738,0.9805763647928563,800.9984951423851,94256922.69920315
118,94256922.69920315,449224.80584718334,1402595.5661583191,464271.63566522487,1866867.201823544,0.9801938452013633,800.998524947828,92390055.4973796
119,92390055.4973796,440052.6462777009,1411767.7257277998,454891.4388582598,1866659.1645860597,0.9797958865319762,800.9985547499494,90523396.33279353
120,90523396.33279353,430879.246037718,1420941.1259677848,445512.27603412926,1866453.402001914,0.9793815358502433,800.9985845487857,88656942.93079162
121,88656942.93079162,421704.59479113686,1430115.777214365,436134.1357678867,1866249.9129822517,0.9789497601508873,800.9986143443733,86790693.01780936
122,86790693.01780936,412528.6822021541,1439291.689803347,426757.00664003025,1866048.6964433773,0.9784994377673598,800.9986441367483,84924644.32136598
123,84924644.32136598,403351.49793523207,1448468.8740702716,417380.87723647925,1865849.7513067508,0.9780293486511862,800.9986739259472,83058794.57005922
124,83058794.57005922,394173.0316550797,1457647.34035042,408005.7361485447,1865653.0764989648,0.9775381633437347,800.9987037120059,81193141.49356025
125,81193141.49356025,384993.27302663587,1466827.0989788664,398631.5719729075,1865458.6709517739,0.9770244304304974,800.9987334949609,79327682.82260849
126,79327682.82260849,375812.21171504,1476008.1602904624,389258.3733115911,1865266.5336020535,0.9764865622285585,800.9987632748483,77462416.28900643
127,77462416.28900643,366629.83738561644,1485190.5346198874,379886.1287719336,1865076.663391821,0.9759228184099841,800.9987930517044,75597339.62561461
128,75597339.62561461,357446.1397038526,1494374.2323016515,370514.826966566,1864889.0592682175,0.9753312872052928,800.9988228255652,73732450.56634639
